Citance Number: 1 | Reference Article: W09-0621 | Citing Article: D12-1016 | Citation Marker Offset: '83' | Citation Marker: 2009.0 | Citation Offset: '83','84' | Citation Text: <S sid ="83" ssid = "12">GigaPairs has been derived from Gigaword using the pairwise similarity method on headlines presented by Wubben et al. (2009) </S> | Reference Offset: ['3'] | Reference Text: <S sid ="3" ssid = "3">We compare two methods of aligning headlines to construct such an aligned corpus of paraphrases, one based on clustering, and the other on pairwise similarity-based matching.</S> | Discourse Facet: Method_Citation | 
Citance Number: 4 | Reference Article: W06-3909 | Citing Article: P09-1113 | Citation Marker Offset: '17' | Citation Marker: Pantel and Pennacchiotti,2006 | Citation Offset: '17' | Citation Text: <S sid ="17" ssid = "17">A third approach has been to use a very small number of seed instances or patterns to do bootstrap learning (Brin, 1998; Riloff and Jones, 1999; Agichtein and Gravano, 2000; Ravichandran and Hovy, 2002; Etzioni et al., 2005; Pennacchiotti and Pantel, 2006; Bunescu and Mooney, 2007; Rozenfeld and Feldman, 2008).</S> | Reference Offset: ['19'] | Reference Text: <S sid ="19" ssid = "5">Manually building three lexico-syntactic patterns, Hearst sketched a bootstrapping algorithm to learn more patterns from instances, which has served as the model for most subsequent pattern-based algorithms.</S | Discourse Facet: Method citation | 
Citance Number: 5 | Reference Article: W06-3909 | Citing Article: P170300_w06 | Citation Marker Offset: '82' | Citation Marker: Pantel and Pennacchiotti,2006 | Citation Offset: '82' | Citation Text: <S sid ="82" ssid = "26">To generalize the task, we first determine noun phrases in the data following the definition in (Pennacchiotti and Pantel 2006).</S> | Reference Offset: ['51'] | Reference Text: <S sid ="51" ssid = "13">We adopt a slightly modified version of the term definition given in [13], as it is one of the most commonly used in the literature: ((AdjPIPENoun)+PIPE((AdjPIPENoun)*(NounPrep)?)(AdjPIPENoun)*)Noun We operationally extend the definition of Adj to include present and past participles as most noun phrases composed of them are usually intended as terms (e.g., boiling point).</S> | Discourse Facet: Method citation | 
Citance Number: 6 | Reference Article: W06-3909 | Citing Article: P846406_w06 | Citation Marker Offset: '104' | Citation Marker: Pantel and Pennacchiotti,2006 | Citation Offset: '104' | Citation Text: <S sid ="104" ssid = "66">In a completely separate stream of work, Pantel and Pennacchiotti investigated the extraction of axioms from the text using the statistical text harvesting paradigm.</S> | Reference Offset: ['20','21'] | Reference Text: <S sid ="20" ssid = "6">Berland and Charniak [1] propose a system for part-of relation extraction, based on the Hearst approach [12].</S>   <S sid ="21" ssid = "7">Seed instances are used to infer linguistic patterns that, in turn, are used to extract new instances, ranked according to various statistical measures.</S> | Discourse Facet: Method citation | 
Citance Number: 7 | Reference Article: W06-3909 | Citing Article: P846406_w06 | Citation Marker Offset: '105' | Citation Marker: Pantel and Pennacchiotti,2006 | Citation Offset: '105' | Citation Text: <S sid ="105" ssid = "67">In (Pennacchiotti and Pantel, 2006; Pantel and Pennacchiotti, 2006) they report the results.</S | Reference Offset: ['30'] | Reference Text: <S sid ="30" ssid = "16">The approach gives good results on specific relations such as birthdates, however it has low precision on generic ones like is-a and part-of.</S> | Discourse Facet: Method citation | 
Citance Number: 9 | Reference Article: W06-3909 | Citing Article: Pfram_w06 | Citation Marker Offset: '596' | Citation Marker: Pantel and Pennacchiotti | Citation Offset: '596' | Citation Text: <S sid ="596" ssid = "596">Pennacchiotti and Pantel [32] describes a system called Espresso.</S> | Reference Offset: ['196'] | Reference Text: <S sid ="196" ssid = "1">We proposed a weakly supervised bootstrapping algorithm, called Espresso, for automatically extracting a wide variety of binary semantic relations from raw text.</S> | Discourse Facet: Method citation | 
Citance Number: 10 | Reference Article: W06-3909 | Citing Article: Pfram_w06 | Citation Marker Offset: '601' | Citation Marker: Pantel and Pennacchiotti | Citation Offset: '601' | Citation Text: <S sid ="601" ssid = "601">Pantel and Pennacchiotti [31] extends Espresso by treating patterns with high recall differently from patterns with high precision.</S> | Reference Offset: ['68'] | Reference Text: <S sid ="68" ssid = "30">The recall of a pattern p can be approximated by the fraction of input instances in I&apos; that are extracted by p. Since it is difficult at run-time to estimate the precision of a pattern, we are weary of keeping patterns that generate many instances (i.e., patterns that generate high recall but potentially disastrous precision).</S> | Discourse Facet: Method citation | 
Citance Number: 11 | Reference Article: W06-3909 | Citing Article: Ponto_w06 | Citation Marker Offset: '18' | Citation Marker: Pantel and Pennacchiotti | Citation Offset: '18' | Citation Text: <S sid ="18" ssid = "18">As pointed out by Pennacchiotti and Pantel [6], most ontology extraction systems so far have focused on generalised is-a or part-of relationships.</S> | Reference Offset: ['33'] | Reference Text: <S sid ="33" ssid = "19">Other pattern-based algorithms include Riloff and Shepherd [21], who used a semiautomatic method for discovering similar words using a few seed examples by using pattern-based techniques and human supervision, KnowItAll [7] that performs large-scale extraction of facts from the Web, Mann [15] and Fleischman et al. [9] who used part of speech patterns to extract a subset of is-a relations involving proper nouns, and Downey et al. [6] who formalized the problem of relation extraction in a coherent and effective combinatorial model that is shown to outperform previous probabilistic frameworks.</S> | Discourse Facet: Method citation | 
Citance Number: 12 | Reference Article: W06-3909 | Citing Article: Ponto_w06 | Citation Marker Offset: '27' | Citation Marker: Pantel and Pennacchiotti | Citation Offset: '27' | Citation Text: <S sid ="27" ssid = "2">Hearsts method has since then been followed by the most successful systems, such as the Espresso system proposed by Pennacchiotti and Pantel [6], based on bootstrapping.</S> | Reference Offset: ['19'] | Reference Text: <S sid ="19" ssid = "5">Manually building three lexico-syntactic patterns, Hearst sketched a bootstrapping algorithm to learn more patterns from instances, which has served as the model for most subsequent pattern-based algorithms.</S | Discourse Facet: Method citation | 
Citance Number: 13 | Reference Article: W06-3909 | Citing Article: PSS07_w06 | Citation Marker Offset: '49' | Citation Marker: Pantel and pennacchiotti | Citation Offset: '49' | Citation Text: <S sid ="49" ssid = "14">Pennachiotti and Pantel developed a system that extracts the relations such as is-a, part-of, and succession from the Trec9 corpus and is-a, part-of, production, and reaction from a chemistry corpus (Pennacchiotti &amp; Pantel 2006).</S> | Reference Offset: ['122','123','124','125','126','127','128',129','130'] | Reference Text: <S sid ="122" ssid = "17">For our preliminary evaluation, we consider the standard is-a and part-of relations as well as three novel relations:  succession: This relation indicates that one proper noun succeeds another in a position or title.</S>   <S sid ="123" ssid = "18">For example, George Bush succeeded Bill Clinton and Pope Benedict XVI succeeded Pope John Paul II.</S>   <S sid ="124" ssid = "19">We evaluate this relation on the TREC9 corpus.</S>   <S sid ="125" ssid = "20"> reaction: This relation occurs between chemical elements/molecules that can be combined in a chemical reaction.</S>   <S sid ="126" ssid = "21">For example, hydrogen gas reacts-with oxygen gas and zinc reacts-with hydrochloric acid.</S>   <S sid ="127" ssid = "22">We evaluate this relation on the CHEM corpus.</S>   <S sid ="128" ssid = "23"> production: This relation occurs when a process or element/object produces a result.</S>   <S sid ="129" ssid = "24">For example, ammonia produces nitric oxide.</S>   <S sid ="130" ssid = "25">We evaluate this relation on the CHEM corpus.</S> | Discourse Facet: Method citation | 
Citance Number: 1 | Reference Article: P00-1025 | Citing Article: J06-1004 | Citation Marker Offset: '104' | Citation Marker: Beesley and Karttunen,2000 | Citation Offset: '104' | Citation Text: <S sid ="104" ssid = "39">Beesley and Karttunen (2000) describe a technique, called compile-replace, for constructing FSTs, which involves reapplying the regular-expression compiler to its own output.</S> | Reference Offset: ['29'] | Reference Text: <S sid ="29" ssid = "12">If the relation is finite-state, then it can be defined using the metalanguage of regular expressions; and, with a suitable compiler, the regular expression source code can be compiled into a finite-state transducer (fst), as shown in Figure 4, that implements the relation computationally.</S> | Discourse Facet: Method Citation | 
Citance Number: 2 | Reference Article: P00-1025 | Citing Article: P55-62_p00 | Citation Marker Offset: '52' | Citation Marker: 7.0 | Citation Offset: '52' | Citation Text: <S sid ="52" ssid = "52">Beesleyl7l presents a finite-state morphological analyzer for Arabic, which displays the root, pattern and prefixes/suffixes.</S> | Reference Offset: ['123'] | Reference Text: <S sid ="123" ssid = "50">This insight of Kataja and Koskenniemi was applied by Beesley in a large-scale morphological analyzer for Arabic, first using an implementation that simulated the intersection of stems in code at runtime (Beesley, 1989; Beesley et al., 1989; Beesley, 1990; Beesley, 1991), and ran rather slowly; and later, using Xerox finite-state technology (Beesley, 1996; Beesley, 1998a), a new implementation that intersected the stems at compile time and performed well at runtime.</S> | Discourse Facet: Method Citation | 
Citance Number: 3 | Reference Article: P00-1025 | Citing Article: P9852_p00 | Citation Marker Offset: '200','201' | Citation Marker: Beesley and Karttunen,2000 | Citation Offset: '200', '201' | Citation Text: <S sid ="200" ssid = "43">Thus, we employ the com pile-replace feature in xfst (Beesley &amp; Karttunen, 2000).</S>   <S sid ="201" ssid = "44">This feature allows the repetition of arbi trarily complex sublanguages by specifying the brackets &apos;&quot;&apos;[ &quot; and &quot;A 1 &quot; to mark the domain of re duplication.</S> | Reference Offset: ['203'] | Reference Text: <S sid ="203" ssid = "130">Significant experiments with Malay and a much larger application in Arabic have shown the value of this technique in handling two classic examples of non-concatenative morphotactics: full-stem reduplication and Semitic stem interdigitation.</S> | Discourse Facet: Method Citation | 
Citance Number: 5 | Reference Article: P00-1025 | Citing Article: PE2006_p00 | Citation Marker Offset: '104' | Citation Marker: Beesley and Karttunen,2000 | Citation Offset: '104' | Citation Text: <S sid ="104" ssid = "39">Beesley and Karttunen (2000) describe a technique, called compile-replace, for constructing FSTs, which involves reapplying the regular-expression compiler to its own output.</S> | Reference Offset: ['62'] | Reference Text: <S sid ="62" ssid = "2">The compile- replace algorithm then reapplies the regular- expression compiler to its own output, compiling the regular-expression substrings in the intermediate network and replacing them with the result of the compilation.</S> | Discourse Facet: Method Citation | 
Citance Number: 6 | Reference Article: P00-1025 | Citing Article: Plex_p00 | Citation Marker Offset: '31' | Citation Marker: Beesley and Karttunen,2000 | Citation Offset: '31' | Citation Text: <S sid ="31" ssid = "31">Challenging non-concatenative morphological phenomena, such as circumfixion and root-and-pattern morphology, can be characterized by regular means (Beesley and Karttunen 2000, 2003).</S> | Reference Offset: ['119'] | Reference Text: <S sid ="119" ssid = "46">In work more directly related to the current solution, it was Kataja and Koskenniemi (1988) who first demonstrated that Semitic (Akkadian) roots and patterns5 could be formalized as regular languages, and that the non-concatenative interdigitation of stems could be elegantly formalized as the intersection of those regular languages.</S> | Discourse Facet: Result Citation | 
Citance Number: 7 | Reference Article: P00-1025 | Citing Article: Plex_p00 | Citation Marker Offset: '32' | Citation Marker: Beesley and Karttunen,2000 | Citation Offset: '32' | Citation Text: <S sid ="32" ssid = "32">Even total reduplication can be characterized without going outside the regular languages (Beesley and Karttunen 2000).</S> | Reference Offset: ['16'] | Reference Text: <S sid ="16" ssid = "16">This technique, implemented in an algorithm called compile-replace, has already proved useful for handling Malay full- stem reduplication and Arabic stem interdigitation, which will be described below.</S> | Discourse Facet: Method Citation | 
Citance Number: 8 | Reference Article: P00-1025 | Citing Article: Pmorph_p00 | Citation Marker Offset: '67' | Citation Marker: Beesley and Karttunen | Citation Offset: '67' | Citation Text: <S sid ="67" ssid = "1">In this section we will show in detail how Realizational Morphology can be expressed in terms of the parc/xrce regular expression calculus as dened in Beesley and Karttunen [4].</S> | Reference Offset: ['96'] | Reference Text: <S sid ="96" ssid = "23">In the regular expression calculus there are several operators that involve concatenation.</S> | Discourse Facet: Method Citation | 
Citance Number: 10 | Reference Article: P00-1025 | Citing Article: Pstat_p00 | Citation Marker Offset: '86' | Citation Marker: Beesley and Karttunen,2000 | Citation Offset: '86' | Citation Text: <S sid ="86" ssid = "59">The application of the merge algorithm to the lower-side of the relation is performed by the COMPILER EPL ACE algorithm (Beesley and Karttunen, 2000),11 and the result is shown in Figure 7.</S> | Reference Offset: ['131'] | Reference Text: <S sid ="131" ssid = "58">3.2.2 Merge The merge algorithm is a pattern-filling operation that combines two regular languages, a template and a filler, into a single one.</S> | Discourse Facet: Method Citation | 
Citance Number: 11 | Reference Article: P00-1025 | Citing Article: W02-0503-parscit130908 | Citation Marker Offset: '17' | Citation Marker: Beesley and Karttunen,2000 | Citation Offset: '17' | Citation Text: <S sid ="17" ssid = "17">Beesley and Karttunen (2000) described a new technique for constructing finite-state transducers that involves reapplying a regular-expression compiler to its own output.</S> | Reference Offset: ['202'] | Reference Text: <S sid ="202" ssid = "129">The technique described here, implemented in the compile-replace algorithm, allows the regular-expression compiler to reapply to and modify its own output, effectively freeing morphotactic description to use any finite-state operation.</S> | Discourse Facet: Method Citation | 
Citance Number: 12 | Reference Article: P00-1025 | Citing Article: W07-0802-parscit130908 | Citation Marker Offset: '134' | Citation Marker: Beesley and Karttunen,2000 | Citation Offset: '134' | Citation Text: <S sid ="134" ssid = "1">A large-scale implementation of the Arabic morphological system is the Xerox Arabic Morphologi cal Analyzer and Generator (Beesley and Karttunen,2000; Beesley, 2001).</S> | Reference Offset: ['123'] | Reference Text: <S sid ="123" ssid = "50">This insight of Kataja and Koskenniemi was applied by Beesley in a large-scale morphological analyzer for Arabic, first using an implementation that simulated the intersection of stems in code at runtime (Beesley, 1989; Beesley et al., 1989; Beesley, 1990; Beesley, 1991), and ran rather slowly; and later, using Xerox finite-state technology (Beesley, 1996; Beesley, 1998a), a new implementation that intersected the stems at compile time and performed well at runtime.</S> | Discourse Facet: Method Citation | 
Citance Number: 13 | Reference Article: P00-1025 | Citing Article: W08-0703 | Citation Marker Offset: '15' | Citation Marker: Beesley and Karttunen,2000 | Citation Offset: '15' | Citation Text: <S sid ="15" ssid = "15">In the last decade, finite-state approaches to phonology (Gildea and Jurafsky, 1996; Beesley and Karttunen, 2000) have effectively brought theoretical linguistic work on rewrite rules into the computational realm.</S> | Reference Offset: ['50'] | Reference Text: <S sid ="50" ssid = "33">All the finite-state operations (concatenation, union, intersection, composition, etc.) can be simulated by an apply routine at runtime.</S> | Discourse Facet: Method Citation | 
Citance Number: 14 | Reference Article: P00-1025 | Citing Article: W09-0802 | Citation Marker Offset: '207' | Citation Marker: Beesley and Karttunen,2000 | Citation Offset: '207' | Citation Text: <S sid ="207" ssid = "74">The interdigitation is handled using a compile-replace process using the replace operator (Karttunen and Beesley, 2000) (Karttunen, 1995).</S> | Reference Offset: ['205'] | Reference Text: <S sid ="205" ssid = "132">The compile-replace algorithm and the merge operator introduced in this paper are general techniques not limited to handling the specific</S> | Discourse Facet: Method Citation | 
Citance Number: 1 | Reference Article: W11-0815 | Citing Article: D13-1060 | Citation Marker Offset: '7' | Citation Marker: Acosta et al, 2011 | Citation Offset: '7' | Citation Text: <S sid ="7" ssid = "7">The task of identifying MWEs is relevant not only to lexical semantics applications, but also machine translation (Koehn et al., 2003; Ren et al., 2009; Pal et al., 2010), information retrieval (Xu et al., 2010; Acosta et al., 2011), and syntactic parsing (Sag et al., 2002).</S> | Reference Offset: ['217'] | Reference Text: <S sid ="217" ssid = "1">This work consists in investigating the impact of Multiword Expressions on applications, focusing on compound nouns in Information Retrieval systems, and whether a more adequate treatment for these expressions can bring possible improvements in the indexing these expressions.</S> | Discourse Facet: Method_Citation | 
Citance Number: 2 | Reference Article: W11-0815 | Citing Article: P09207_w11 | Citation Marker Offset: '625', '626' | Citation Marker: Acosta et al, 2011 | Citation Offset: '625', '626' | Citation Text: <S sid ="625" ssid = "267">Joining the words of MWEs before indexation is a simple idea that was put in practice by Acosta et al.</S> | Reference Offset: ['18'] | Reference Text: <S sid ="18" ssid = "18">The selection of appropriate indexing terms is a key factor for the quality of IR systems.</S> | Discourse Facet: Method_Citation | 
Citance Number: 3 | Reference Article: W11-0815 | Citing Article: Pproc9_w11 | Citation Marker Offset: '15', '16' | Citation Marker: Acosta et al, 2011 | Citation Offset: '15','16' | Citation Text: <S sid ="15" ssid = "15">Our research in compositionality is motivated by the hypothesis that a special treatment of se mantically non-compositional expressions can im prove results in various Natural Language Process ing (NPL) tasks, as shown for example by Acosta et al.</S> | Reference Offset: ['1'] | Reference Text: <S sid ="1" ssid = "1">The extensive use of Multiword Expressions (MWE) in natural language texts prompts more detailed studies that aim for a more adequate treatment of these expressions.</S> | Discourse Facet: Method_CItation | 
Citance Number: 4 | Reference Article: W11-0815 | Citing Article: Pproc14_w11 | Citation Marker Offset: '16','17','18','19' | Citation Marker: Acosta et al, 2011 | Citation Offset: '16','17','18','19' | Citation Text: <S sid ="16" ssid = "16">As an example, Carpuat and Diab (2010) proposed two strategies for integrating MWEs into statisti cal machine translation.</S> | Reference Offset: ['47'] | Reference Text: <S sid ="47" ssid = "10">This task aimed to explore the contribution of the disambiguation of words to bilingual or monolingual IR.</S> | Discourse Facet: Method_Citation | 
Citance Number: 5 | Reference Article: W11-0815 | Citing Article: S13-1039 | Citation Marker Offset: '5' | Citation Marker: Acosta et al, 2011 | Citation Offset: '5' | Citation Text: <S sid ="5" ssid = "5">Investigating the degree of MWE compositionality has been shown to have applications in information retrieval and machine translation (Acosta et al., 2011; Venkatapathy and Joshi, 2006).</S> | Reference Offset: ['6'] | Reference Text: <S sid ="6" ssid = "6">One of the motivations of this work is to investigate if the identification and appropriate treatment of Multiword Expressions (MWEs) in an application contributes to improve results and ultimately lead to more precise man-machine interaction.</S> | Discourse Facet: Method_Citation | 
Citance Number: 6 | Reference Article: W11-0815 | Citing Article: W12-3311 | Citation Marker Offset: '31' | Citation Marker: Acosta et al, 2011 | Citation Offset: '31' | Citation Text: <S sid ="31" ssid = "31"> Information retrieval: when MWEs like pop star are indexed as a unit, the accuracy of the system improves on multiword queries (Acosta et al., 2011).</S> | Reference Offset: ['21'] | Reference Text: <S sid ="21" ssid = "21">For example, if the query was pop star meaning celebrity, and the terms were indexed individually, the relevant documents may not be retrieved and the system would 101 Proceedings of the Workshop on Multiword Expressions: from Parsing and Generation to the Real World (MWE 2011), pages 101109, Portland, Oregon, USA, 23 June 2011.</S> | Discourse Facet: Method_Citation | 
Citance Number: 7 | Reference Article: W11-0815 | Citing Article: W13-1006 | Citation Marker Offset: '15','16' | Citation Marker: Acosta et al, 2011 | Citation Offset: '15','16' | Citation Text: <S sid ="15" ssid = "15">Our research in compositionality is motivated by the hypothesis that a special treatment of semantically non-compositional expressions can improve results in various Natural Language Processing (NPL) tasks, as shown for example by Acosta et al.</S> | Reference Offset: ['15'] | Reference Text: <S sid ="15" ssid = "15">In this paper, we perform an application-oriented evaluation of the inclusion of MWE treatment into an Information Retrieval (IR) system.</S> | Discourse Facet: Method_Citation | 
Citance Number: 8 | Reference Article: W11-0815 | Citing Article: W13-3208 | Citation Marker Offset: '16' | Citation Marker: Acosta et al, 2011 | Citation Offset: '16' | Citation Text: <S sid ="16" ssid = "16">Biemanns idea and motivation is that non- compositional expressions could be treated as single units in many NLP applications such as Information Retrieval (Acosta et al., 2011) or Machine Translation (Carpuat and Diab, 2010).</S> | Reference Offset: ['17'] | Reference Text: <S sid ="17" ssid = "17">Although language processing is not vital to modern IR systems, it may be convenient (Sparck Jones, 1997) and in this scenario, NLP techniques may contribute in the selection of MWEs for indexing as single units in the IR system.</S> | Discourse Facet: Result_Citation | 
Citance Number: 9 | Reference Article: W11-0815 | Citing Article: W15-0909 | Citation Marker Offset: '4','5','6' | Citation Marker: Acosta et al, 2011 | Citation Offset: '4','5','6' | Citation Text: <S sid ="4" ssid = "4">(2002), Baldwin and Kim (2009)) has been shown to be useful in various NLP applications (Ramisch, 2012), recent work has shown that automatic prediction of the degree of compositionality of MWEs also has utility, in applications including information retrieval (IR: Acosta et al.</S> | Reference Offset: ['30'] | Reference Text: <S sid ="30" ssid = "4">The automatic discovery of specific types of MWEs has attracted the attention of many researchers in NLP over the past years.</S> | Discourse Facet: Method_Citation | 
Citance Number: 10 | Reference Article: W11-0815 | Citing Article: W15-0909 | Citation Marker Offset: '7','8' | Citation Marker: Acosta et al, 2011 | Citation Offset: '7','8' | Citation Text: <S sid ="7" ssid = "7">For instance, Acosta et al.</S> | Reference Offset: ['62','64'] | Reference Text: <S sid ="62" ssid = "25">We used Zettair to generate the ranked list of documents retrieved in response to each query.</S><S sid ="64" ssid = "27">We used the cosine metric to calculate the scores and rank the documents.</S> | Discourse Facet: Result_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: C10-2052 | Citation Marker Offset: '22' | Citation Marker: Chiang et al., 2009 | Citation Offset: '22' | Citation Text: <S sid ="22" ssid = "22">We explore the different options for context and feature se 1 See (Chan et al., 2007) for the relevance of word sense disambiguation and (Chiang et al., 2009) for the role of prepositions in MT. 454 Coling 2010: Poster Volume, pages 454462, Beijing, August 2010 lection, the influence of different preprocessing methods, and different levels of sense granularity.</S> | Reference Offset: ['23'] | Reference Text: <S sid ="23" ssid = "9">Another line of research (Watanabe et al., 2007; Chiang et al., 2008) tries to squeeze as many features as possible from a relatively small dataset.</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: D11-1081 | Citation Marker Offset: '6' | Citation Marker: Chiang et al., 2009 | Citation Offset: '6' | Citation Text: <S sid ="6" ssid = "6">Recent work have shown that SMT benefits a lot from exploiting large amount of features (Liang et al., 2006; Tillmann and Zhang, 2006; Watanabe et al., 2007; Blunsom et al., 2008; Chiang et al., 2009).</S> | Reference Offset: ['9'] | Reference Text: <S sid ="9" ssid = "9">We add more than 250 features to improve a syntax- based MT systemalready the highest-scoring single system in the NIST 2008 ChineseEnglish common-data trackby +1.1 B. We also add more than 10,000 features to Hiero (Chiang, 2005) and obtain a +1.5 B improvement.</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: D11-1081 | Citation Marker Offset: '9' | Citation Marker: Chiang et al., 2009 | Citation Offset: '9' | Citation Text: <S sid ="9" ssid = "9">Overfitting problem often comes when training many features on a small data (Watanabe et al., 880 2007; Chiang et al., 2009).</S> | Reference Offset: ['23'] | Reference Text: <S sid ="23" ssid = "9">Another line of research (Watanabe et al., 2007; Chiang et al., 2008) tries to squeeze as many features as possible from a relatively small dataset.</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: D11-1081 | Citation Marker Offset: '25' | Citation Marker: Chiang et al., 2009 | Citation Offset: '25' | Citation Text: <S sid ="25" ssid = "25">(3) Removing e1 and e5 in t1 and adding e2 leads to another reference derivation t3 . Generally, this is done by deleting a node X0,1 . ing to constructing the oracle reference (Liang et al., 2006; Watanabe et al., 2007; Chiang et al., 2009), which is nontrivial for SMT and needs to be determined experimentally.</S> | Reference Offset: ['51'] | Reference Text: <S sid ="51" ssid = "24">We incorporate all our new features into a linear model (Och and Ney, 2002) and train them using MIRA (Crammer et al., 2006), following previous work (Watanabe et al., 2007; Chiang et al., 2008).</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: D11-1081 | Citation Marker Offset: '159' | Citation Marker: Chiang et al., 2009 | Citation Offset: '159' | Citation Text: <S sid ="159" ssid = "11">Following (Chiang et al., 2009), we only use 100 most frequent words for word context feature.</S> | Reference Offset: ['32' '33'] | Reference Text: <S sid ="32" ssid = "5">Two of the features are n-gram language models, which require intersecting the synchronous CFG with finite-state automata representing the language models. This grammar can be parsed efficiently using cube pruning (Chiang, 2007). | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: D11-1081 | Citation Marker Offset: '239' | Citation Marker: Chiang et al., 2009 | Citation Offset: '239' | Citation Text: <S sid ="239" ssid = "91">Lexicalize operator is used more frequently mainly dues to that the reference derivations are initialized with reusable (thus Chiang et al., 2009), gradient descent (Blunsom et al., 2008; Blunsom and Osborne, 2008).</S> | Reference Offset: ['29'] | Reference Text: <S sid ="29" ssid = "2">Hiero (Chiang, 2005) is a hierarchical, string-to- string translation system.</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: D11-1125 | Citation Marker Offset: '13' | Citation Marker: Chiang et al., 2009 | Citation Offset: '13' | Citation Text: <S sid ="13" ssid = "13">The MIRA technique of Chiang et al. has been shown to perform well on large-scale tasks with hundreds or thousands of features (2009).</S> | Reference Offset: ['51'] | Reference Text: <S sid ="51" ssid = "24">We incorporate all our new features into a linear model (Och and Ney, 2002) and train them using MIRA (Crammer et al., 2006), following previous work (Watanabe et al., 2007; Chiang et al., 2008).</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: D11-1125 | Citation Marker Offset: '78', '79' | Citation Marker: Chiang et al., 2009 | Citation Offset: '77', '78', '79' | Citation Text: <S sid ="77" ssid = "2">The most prominent example of a tuning method that performs well on high-dimensionality candidate spaces is the MIRA-based approach used by Watanabe et al.</S>   <S sid ="78" ssid = "3">(2007) and Chiang et al.</S>   <S sid ="79" ssid = "4">(2008b; 2009).</S> | Reference Offset: ['14'] | Reference Text: <S sid ="14" ssid = "14">Our results add to a growing body of evidence (Watanabe et al., 2007; Chiang et al., 2008) that MIRA is preferable to MERT across languages and systems, even for very large-scale tasks.</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: D11-1125 | Citation Marker Offset: '208' | Citation Marker: Chiang et al., 2009 | Citation Offset: '207', '208', '209' | Citation Text: <S sid ="207" ssid = "55">We used the following feature classes in SBMT and PBMT extended scenarios:  Discount features for rule frequency bins (cf. Chiang et al. (2009), Section 4.1)  Target word insertion features9 We used the following feature classes in SBMT extended scenarios only (cf.</S> | Reference Offset: ['9'] | Reference Text: <S sid ="9" ssid = "9">We add more than 250 features to improve a syntax- based MT systemalready the highest-scoring single system in the NIST 2008 ChineseEnglish common-data trackby +1.1 B. We also add more than 10,000 features to Hiero (Chiang, 2005) and obtain a +1.5 B improvement.</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: D11-1125 | Citation Marker Offset: '210' | Citation Marker: Chiang et al., 2009 | Citation Offset: '210', '211' | Citation Text: <S sid ="210" ssid = "58">Chiang et al. (2009), Section 4.1):10  Rule overlap features  Node count features 9 For ChineseEnglish and UrduEnglish SBMT these features only fired when the inserted target word was unaligned to any source word.</S> | Reference Offset: ['9'] | Reference Text: <S sid ="9" ssid = "9">We add more than 250 features to improve a syntax- based MT systemalready the highest-scoring single system in the NIST 2008 ChineseEnglish common-data trackby +1.1 B. We also add more than 10,000 features to Hiero (Chiang, 2005) and obtain a +1.5 B improvement.</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: D11-1125 | Citation Marker Offset: '227' | Citation Marker: Chiang et al., 2009 | Citation Offset: '227', '228', '229' | Citation Text: <S sid ="227" ssid = "16">5.4.1 MERT We used David Chiangs CMERT implementation We for the most part follow the MIRA algorithm for machine translation as described by Chiang et al. (2009)12 but instead of using the 10-best of each of the best hw , hw +g, and hw -g, we use the 30-best according to hw .13 We use the same sentence-level BLEU calculated in the context of previous 1-best translations as Chiang et al. (2008b; 2009). | Reference Offset: ['14'] | Reference Text: <S sid ="14" ssid = "14">Our results add to a growing body of evidence (Watanabe et al., 2007; Chiang et al., 2008) that MIRA is preferable to MERT across languages and systems, even for very large-scale tasks.</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: N12-1006 | Citation Marker Offset: '102' | Citation Marker: Chiang et al., 2009 | Citation Offset: '102', '103' | Citation Text: <S sid ="102" ssid = "7">Additionally, we used 50,000 sparse, binary-valued source and target features based on Chiang et al. (2009) </S> | Reference Offset: ['51'] | Reference Text: <S sid ="51" ssid = "24">We incorporate all our new features into a linear model (Och and Ney, 2002) and train them using MIRA (Crammer et al., 2006), following previous work (Watanabe et al., 2007; Chiang et al., 2008).</S> | Discourse Facet: Method_Citation | 
